fid,Species,plant_id,plot_id,aggplot_id,site,mean-HEIGHTS06-05-2024,HEIGHTS06-05-2024,mean-HEIGHTS08-30-2024,HEIGHTS08-30-2024,mean-HEIGHTS07-31-2024,HEIGHTS07-31-2024,mean-HEIGHTS08-09-2022,HEIGHTS08-09-2022,mean-HEIGHTS07-18-2024,HEIGHTS07-18-2024,mean-HEIGHTS06-05-2023,HEIGHTS06-05-2023,mean-HEIGHTS06-10-2022,HEIGHTS06-10-2022,mean-HEIGHTS09-09-2022,HEIGHTS09-09-2022,mean-HEIGHTS07-16-2024,HEIGHTS07-16-2024,mean-HEIGHTS08-29-2022,HEIGHTS08-29-2022,mean-HEIGHTS07-27-2023,HEIGHTS07-27-2023,mean-HEIGHTS07-19-2022,HEIGHTS07-19-2022,mean-HEIGHTS11-17-2023,HEIGHTS11-17-2023,mean-HEIGHTS07-08-2022,HEIGHTS07-08-2022,mean-HEIGHTS05-11-2023,HEIGHTS05-11-2023,mean-HEIGHTS07-06-2023,HEIGHTS07-06-2023,mean-HEIGHTS09-26-2022,HEIGHTS09-26-2022,mean-HEIGHTS09-26-2023,HEIGHTS09-26-2023,mean-HEIGHTS07-11-2024,HEIGHTS07-11-2024,mean-HEIGHTS06-21-2023,HEIGHTS06-21-2023,mean-HEIGHTS06-25-2024,HEIGHTS06-25-2024,mean-HEIGHTS05-03-2023,HEIGHTS05-03-2023,mean-HEIGHTS07-26-2023,HEIGHTS07-26-2023,mean-HEIGHTS10-30-2023,HEIGHTS10-30-2023
11,Bluebunch Wheatgrass,23BCPS01007,1007,252,BlueCreek,,,0.016543239,0.014210307,0.034654483,0.029561851,,,0.011765668,0.012530281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bluebunch Wheatgrass,23BCPS01008,1008,252,BlueCreek,,,0.012531664,0.012522703,0.039408777,0.0368453,,,0.011818943,0.011866431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bluebunch Wheatgrass,23BCPS01009,1009,253,BlueCreek,,,0.00609856,0.009661869,0.048516314,0.049174659,,,0.00335702,0.006828707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bluebunch Wheatgrass,23BCPS01010,1010,253,BlueCreek,,,0.008231862,0.006885638,0.045213643,0.048773177,,,0.010176048,0.01164444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bluebunch Wheatgrass,23BCPS00102,102,26,BlueCreek,,,0.01521263,0.016045865,0.04959162,0.048257247,,,0.011202831,0.009907684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bluebunch Wheatgrass,23BCPS01011,1011,253,BlueCreek,,,0.009694725,0.008698409,0.044825159,0.041842081,,,0.00903732,0.010752192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bluebunch Wheatgrass,23BCPS01012,1012,253,BlueCreek,,,0.013778048,0.014547208,0.045898404,0.044693466,,,0.008242392,0.011922201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bluebunch Wheatgrass,23BCPS01013,1013,254,BlueCreek,,,0.028285932,0.031810854,0.034333158,0.034298111,,,0.02465922,0.026161788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bluebunch Wheatgrass,23BCPS01014,1014,254,BlueCreek,,,0.027458165,0.025070807,0.029377405,0.02545245,,,0.022261512,0.021043962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bluebunch Wheatgrass,23BCPS01015,1015,254,BlueCreek,,,0.024747616,0.026327573,0.03040559,0.027742716,,,0.020613059,0.022054002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bluebunch Wheatgrass,23BCPS01016,1016,254,BlueCreek,,,0.022800965,0.023249084,0.032456014,0.031060673,,,0.021703536,0.022588184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bluebunch Wheatgrass,23BCPS01017,1017,255,BlueCreek,,,0.014594478,0.01940342,0.03849411,0.039428964,,,0.014663731,0.011883318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bluebunch Wheatgrass,23BCPS01018,1018,255,BlueCreek,,,0.01453745,0.01652552,0.037302103,0.035411902,,,0.012277667,0.013718861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bluebunch Wheatgrass,23BCPS01019,1019,255,BlueCreek,,,0.016547581,0.018104142,0.040015195,0.043470632,,,0.011005445,0.011082899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bluebunch Wheatgrass,23BCPS01020,1020,255,BlueCreek,,,0.016618365,0.017664172,0.035038989,0.036590423,,,0.008619663,0.00983948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bluebunch Wheatgrass,23BCPS00103,103,26,BlueCreek,,,0.016049521,0.015164896,0.055273689,0.059676643,,,0.00930952,0.010295852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bluebunch Wheatgrass,23BCPS01021,1021,256,BlueCreek,,,0.018935932,0.016717337,0.03379852,0.033354871,,,0.018932115,0.01963404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bluebunch Wheatgrass,23BCPS01022,1022,256,BlueCreek,,,0.01717044,0.017491449,0.034834791,0.032799866,,,0.016822524,0.017234555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bluebunch Wheatgrass,23BCPS01023,1023,256,BlueCreek,,,0.018095041,0.018914824,0.031536851,0.031330135,,,0.015016071,0.014786568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bluebunch Wheatgrass,23BCPS01024,1024,256,BlueCreek,,,0.015170912,0.016255418,0.035892207,0.036611304,,,0.014989907,0.016584948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bluebunch Wheatgrass,23BCPS01025,1025,257,BlueCreek,,,0.008868334,0.006189915,0.039288003,0.037854079,,,0.01362511,0.007831663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bluebunch Wheatgrass,23BCPS01026,1026,257,BlueCreek,,,0.014377898,0.013427954,0.037851375,0.034867283,,,0.012799062,0.012123332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bluebunch Wheatgrass,23BCPS01027,1027,257,BlueCreek,,,0.013500422,0.014501581,0.035628542,0.034074515,,,0.009466545,0.00910588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bluebunch Wheatgrass,23BCPS01028,1028,257,BlueCreek,,,0.016594145,0.018013617,0.04008824,0.039157394,,,0.005830497,0.007707401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bluebunch Wheatgrass,23BCPS01029,1029,258,BlueCreek,,,0.020862477,0.024429994,0.035554323,0.036645316,,,0.017982328,0.019169113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bluebunch Wheatgrass,23BCPS01030,1030,258,BlueCreek,,,0.022737348,0.023632158,0.038089156,0.037791084,,,0.015759641,0.015062629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bluebunch Wheatgrass,23BCPS00104,104,26,BlueCreek,,,0.011957402,0.013371598,0.053886566,0.057094835,,,0.015206512,0.014770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bluebunch Wheatgrass,23BCPS01031,1031,258,BlueCreek,,,0.02681726,0.027422685,0.033130694,0.033419285,,,0.017825359,0.017760139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bluebunch Wheatgrass,23BCPS01032,1032,258,BlueCreek,,,0.018538114,0.019041784,0.035389721,0.034892097,,,0.014668044,0.015589984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bluebunch Wheatgrass,23BCPS01033,1033,259,BlueCreek,,,0.015224843,0.012075294,0.032672044,0.025976613,,,0.015547005,0.018384403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bluebunch Wheatgrass,23BCPS01034,1034,259,BlueCreek,,,0.01477159,0.015744716,0.034439217,0.02828745,,,0.016337456,0.018774485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Bluebunch Wheatgrass,23BCPS01035,1035,259,BlueCreek,,,0.01556879,0.017254734,0.037801232,0.03445578,,,0.017993953,0.018045239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bluebunch Wheatgrass,23BCPS01036,1036,259,BlueCreek,,,0.014697172,0.015611014,0.038146302,0.037584152,,,0.01846315,0.020044323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bluebunch Wheatgrass,23BCPS01037,1037,260,BlueCreek,,,0.01891744,0.019337442,0.037631374,0.035936922,,,0.013288139,0.00997003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bluebunch Wheatgrass,23BCPS01038,1038,260,BlueCreek,,,0.016407544,0.01562133,0.041897967,0.040257748,,,0.011838275,0.010053561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Bluebunch Wheatgrass,23BCPS01039,1039,260,BlueCreek,,,0.011366565,0.010030553,0.044949546,0.047905672,,,0.008981437,0.010797638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bluebunch Wheatgrass,23BCPS01040,1040,260,BlueCreek,,,0.00847778,0.008650546,0.045402285,0.044792376,,,0.011446318,0.011704832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bluebunch Wheatgrass,23BCPS00105,105,27,BlueCreek,,,0.029074468,0.027286571,0.025133677,0.022066064,,,0.01949998,0.019739756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bluebunch Wheatgrass,23BCPS01041,1041,261,BlueCreek,,,0.007124107,0.004690853,0.040274631,0.036436033,,,0.011570653,0.011695488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bluebunch Wheatgrass,23BCPS01042,1042,261,BlueCreek,,,0.009162742,0.008781381,0.037872225,0.035731371,,,0.011022758,0.010588584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bluebunch Wheatgrass,23BCPS01043,1043,261,BlueCreek,,,0.013876973,0.010737439,0.036329649,0.036957864,,,0.012198588,0.013090205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bluebunch Wheatgrass,23BCPS01044,1044,261,BlueCreek,,,0.011295686,0.010336306,0.035183109,0.036355529,,,0.019678116,0.020335607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bluebunch Wheatgrass,23BCPS01045,1045,262,BlueCreek,,,0.007462902,0.009316891,0.040938843,0.038877558,,,0.006792678,0.009833866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bluebunch Wheatgrass,23BCPS01046,1046,262,BlueCreek,,,0.007422123,0.003706211,0.039189439,0.037414398,,,0.010310038,0.004792971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bluebunch Wheatgrass,23BCPS01047,1047,262,BlueCreek,,,0.00811189,0.00921107,0.040691204,0.042622749,,,0.006291349,0.005413064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Bluebunch Wheatgrass,23BCPS01048,1048,262,BlueCreek,,,0.012135627,0.01475297,0.039961807,0.04269395,,,0.006802192,0.011589322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bluebunch Wheatgrass,23BCPS01049,1049,263,BlueCreek,,,0.011960684,0.012031546,0.039354488,0.032570601,,,0.009868453,0.007566898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bluebunch Wheatgrass,23BCPS01050,1050,263,BlueCreek,,,0.012568213,0.010886762,0.031859044,0.02818336,,,0.010783997,0.010674658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Bluebunch Wheatgrass,23BCPS00106,106,27,BlueCreek,,,0.024225449,0.024192085,0.026214583,0.026088433,,,0.018189644,0.018894119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bluebunch Wheatgrass,23BCPS01051,1051,263,BlueCreek,,,0.013630066,0.012357577,0.036551934,0.030205775,,,0.010830615,0.011934327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Bluebunch Wheatgrass,23BCPS01052,1052,263,BlueCreek,,,0.015007421,0.015027188,0.039825868,0.039951362,,,0.010866674,0.010701498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bluebunch Wheatgrass,23BCPS01053,1053,264,BlueCreek,,,0.010150681,0.00916247,0.045470551,0.043449253,,,0.008092777,0.005596085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Bluebunch Wheatgrass,23BCPS01054,1054,264,BlueCreek,,,0.0123369,0.013029784,0.047832627,0.048040275,,,0.005888334,0.00625111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bluebunch Wheatgrass,23BCPS01055,1055,264,BlueCreek,,,0.011850414,0.00705344,0.046192389,0.046240523,,,0.006665969,0.006660385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Bluebunch Wheatgrass,23BCPS01056,1056,264,BlueCreek,,,0.011331036,0.013419401,0.036679599,0.038224343,,,0.00501878,0.00835069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Bluebunch Wheatgrass,23BCPS01057,1057,265,BlueCreek,,,0.01279866,0.00945785,0.046546187,0.049640883,,,0.008449967,0.007876844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bluebunch Wheatgrass,23BCPS01058,1058,265,BlueCreek,,,0.015702721,0.013668261,0.044619422,0.044246271,,,0.003407608,0.003229356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bluebunch Wheatgrass,23BCPS01059,1059,265,BlueCreek,,,0.012081303,0.010387185,0.044190671,0.044809822,,,0.004854996,0.004222322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bluebunch Wheatgrass,23BCPS01060,1060,265,BlueCreek,,,0.005431887,0.007319386,0.039695632,0.037938915,,,0.007689068,0.01010901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bluebunch Wheatgrass,23BCPS00107,107,27,BlueCreek,,,0.02377834,0.021975132,0.032266986,0.033799265,,,0.022199284,0.028470619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Bluebunch Wheatgrass,23BCPS01061,1061,266,BlueCreek,,,0.011090362,0.011220247,0.035910107,0.034784056,,,0.003224528,0.004505754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bluebunch Wheatgrass,23BCPS01062,1062,266,BlueCreek,,,0.008161506,0.006843271,0.039967671,0.037801035,,,0.009455057,0.007423326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Bluebunch Wheatgrass,23BCPS01063,1063,266,BlueCreek,,,0.010923887,0.008710847,0.040789392,0.037330646,,,0.004902805,0.006161024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bluebunch Wheatgrass,23BCPS01064,1064,266,BlueCreek,,,0.009112598,0.009112598,0.04041452,0.036720093,,,0.004355705,0.008960755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Bluebunch Wheatgrass,23BCPS01065,1065,267,BlueCreek,,,0.015198439,0.01744424,0.036937978,0.035130884,,,0.00613838,0.006603967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Bluebunch Wheatgrass,23BCPS01066,1066,267,BlueCreek,,,0.027539825,0.027814999,0.032607932,0.027186234,,,0.02019937,0.019351525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Bluebunch Wheatgrass,23BCPS01067,1067,267,BlueCreek,,,0.03133681,0.033331331,0.031103507,0.026002113,,,0.019519232,0.01955704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Bluebunch Wheatgrass,23BCPS01068,1068,267,BlueCreek,,,0.025707591,0.027760571,0.03372721,0.034218468,,,0.018776447,0.019866914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Bluebunch Wheatgrass,23BCPS01069,1069,268,BlueCreek,,,0.015208921,0.014640539,0.042884011,0.040753692,,,0.010525358,0.009359017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Bluebunch Wheatgrass,23BCPS01070,1070,268,BlueCreek,,,0.017972602,0.018278092,0.04270136,0.041551452,,,0.009178961,0.008870443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Bluebunch Wheatgrass,23BCPS00108,108,27,BlueCreek,,,0.028402209,0.028290411,0.02703169,0.028949203,,,0.02393255,0.023881249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Bluebunch Wheatgrass,23BCPS01071,1071,268,BlueCreek,,,0.022205431,0.02309083,0.04493897,0.044995934,,,0.011969218,0.012419289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bluebunch Wheatgrass,23BCPS01072,1072,268,BlueCreek,,,0.019137619,0.019980825,0.039860148,0.03889345,,,0.007539639,0.010175268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bluebunch Wheatgrass,23BCPS01073,1073,269,BlueCreek,,,0.013398428,0.012625292,0.03820359,0.040843956,,,0.01237743,0.014531035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Bluebunch Wheatgrass,23BCPS01074,1074,269,BlueCreek,,,0.012434343,0.012804292,0.042247374,0.045789938,,,0.010147371,0.012153594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Bluebunch Wheatgrass,23BCPS01075,1075,269,BlueCreek,,,0.013268739,0.012910643,0.041682892,0.044743855,,,0.011688953,0.01201285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Bluebunch Wheatgrass,23BCPS01076,1076,269,BlueCreek,,,0.010400911,0.01076891,0.03800213,0.038475782,,,0.005248148,0.007801829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Bluebunch Wheatgrass,23BCPS01077,1077,270,BlueCreek,,,0.019272145,0.015897913,0.03370437,0.030996721,,,0.016318075,0.016275356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Bluebunch Wheatgrass,23BCPS01078,1078,270,BlueCreek,,,0.024712821,0.026798902,0.030996995,0.025675628,,,0.017134702,0.020680282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Bluebunch Wheatgrass,23BCPS01079,1079,270,BlueCreek,,,0.02336574,0.027571231,0.034695402,0.035115592,,,0.016331535,0.019493954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Bluebunch Wheatgrass,23BCPS01080,1080,270,BlueCreek,,,0.021927638,0.02224002,0.032218777,0.033431694,,,0.017290624,0.017529659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Bluebunch Wheatgrass,23BCPS00109,109,28,BlueCreek,,,0.015307437,0.014210024,0.038804449,0.038327903,,,0.014261565,0.013899471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Bluebunch Wheatgrass,23BCPS01081,1081,271,BlueCreek,,,0.011504361,0.011341684,0.031882055,0.03064041,,,0.010842203,0.009865293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Bluebunch Wheatgrass,23BCPS01082,1082,271,BlueCreek,,,0.010973585,0.011313495,0.032835536,0.028372807,,,0.009578363,0.009482956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bluebunch Wheatgrass,23BCPS01083,1083,271,BlueCreek,,,0.018667234,0.021267591,0.035422113,0.035249025,,,0.01044927,0.013322102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Bluebunch Wheatgrass,23BCPS01084,1084,271,BlueCreek,,,0.016964097,0.018007193,0.036371384,0.035996933,,,0.013666974,0.014843605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Bluebunch Wheatgrass,23BCPS01085,1085,272,BlueCreek,,,0.018767567,0.024291178,0.039853882,0.036641724,,,0.015513876,0.014648394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Bluebunch Wheatgrass,23BCPS01086,1086,272,BlueCreek,,,0.019578941,0.019888271,0.038864885,0.038494155,,,0.013318567,0.013757779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Bluebunch Wheatgrass,23BCPS01087,1087,272,BlueCreek,,,0.02111326,0.02166876,0.039201815,0.039528716,,,0.01320822,0.014491199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bluebunch Wheatgrass,23BCPS01088,1088,272,BlueCreek,,,0.020708427,0.021371752,0.043090638,0.044279024,,,0.008788853,0.010129666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bluebunch Wheatgrass,23BCPS01089,1089,273,BlueCreek,,,0.00881704,0.008853603,0.043186918,0.047461189,,,0.011571284,0.012148051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Bluebunch Wheatgrass,23BCPS01090,1090,273,BlueCreek,,,0.008899914,0.008869848,0.048969403,0.049806152,,,0.006471178,0.007727111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bluebunch Wheatgrass,23BCPS00110,110,28,BlueCreek,,,0.017757535,0.017523533,0.039150883,0.03855354,,,0.013376662,0.012212396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Bluebunch Wheatgrass,23BCPS01091,1091,273,BlueCreek,,,0.010421803,0.009758193,0.049254369,0.047148701,,,0.004840684,0.007164898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Bluebunch Wheatgrass,23BCPS01092,1092,273,BlueCreek,,,0.010252733,0.013678325,0.045995694,0.047481321,,,0.008463542,0.008463542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Bluebunch Wheatgrass,23BCPS01093,1093,274,BlueCreek,,,0.017406927,0.014243273,0.031976931,0.026255948,,,0.017895414,0.01773843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Bluebunch Wheatgrass,23BCPS01094,1094,274,BlueCreek,,,0.022769982,0.018170942,0.03515717,0.035473049,,,0.018729907,0.017453732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Bluebunch Wheatgrass,23BCPS01095,1095,274,BlueCreek,,,0.024324205,0.024486063,0.034718465,0.0371783,,,0.019760221,0.020309828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Bluebunch Wheatgrass,23BCPS01096,1096,274,BlueCreek,,,0.01892085,0.019070555,0.033820517,0.034029417,,,0.017611124,0.018647367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
